Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
SCOTT-DEVELOPER,System,IPsec Driver,{0CCE9213-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,System Integrity,{0CCE9212-69AE-11D9-BED3-505054503030},Success and Failure,,3
SCOTT-DEVELOPER,System,Security System Extension,{0CCE9211-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Security State Change,{0CCE9210-69AE-11D9-BED3-505054503030},Success,,1
SCOTT-DEVELOPER,System,Other System Events,{0CCE9214-69AE-11D9-BED3-505054503030},Success and Failure,,3
SCOTT-DEVELOPER,System,Access Rights,{0CCE924B-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Group Membership,{0CCE9249-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,User / Device Claims,{0CCE9247-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Network Policy Server,{0CCE9243-69AE-11D9-BED3-505054503030},Success and Failure,,3
SCOTT-DEVELOPER,System,Other Logon/Logoff Events,{0CCE921C-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Special Logon,{0CCE921B-69AE-11D9-BED3-505054503030},Success,,1
SCOTT-DEVELOPER,System,IPsec Extended Mode,{0CCE921A-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,IPsec Quick Mode,{0CCE9219-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,IPsec Main Mode,{0CCE9218-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Account Lockout,{0CCE9217-69AE-11D9-BED3-505054503030},Success,,1
SCOTT-DEVELOPER,System,Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Success,,1
